vin,mva
1FMUK8HH5SGB64466,058621113
3GNKBERS6SS185517,056921233
1C4RJKBG1R8603273,055854772
1FMUK8HH6SGB62581,056990802
1FMCU9GN4SUA63018,056680046
1FBAX2YG5RKA27973,055249412
1FMUK8HH0SGB67131,058615793
1V2WR2CA0SC506623,056700066
1GYS4EKL1PR425129,052434362
1V2JR2CA0SC555914,057237235
1FMJK1H88REA27201,054831055
5N1BT3BAXPC903266,053857672
1V2WR2CA4SC531699,056748134
5NMJB3DE1SH530535,058108584
5NMP2DG16SH066909,057762821
5XYP64GC6SG628940,058151575
1FTFW3LD6SFA61085,058506674
1GKS1DRL7SR225285,058269035
1V2WR2CA3SC571188,057848022
3GNKBCR48SS236330,057749812
5NTJBDDE5SH150639,050150752
5NMP24G1XSH048817,058569210
1GKS2DKL3MR261159,095744563
1FMCU9GN7SUA87152,058505705
1FBAX2YG4RKA16429,054461363
SALYJ2EX4RA387752,054086594
1GNSCNKD3MR250256,095659480
1V2WR2CA4SC525787,056740224
1V2WE2CAXSC210648,056699602
1C4HJXEN3MW653485,096086572
1GKS1DKL0MR254933,095739265
JA4ARUAU3SU003208,058132863
JA4ARUAU6SU001369,050111935
1FMUK8HH8SGB61562,058050160
5NMP24G15SH059014,057574941
1V2WE2CA6SC220397,058442204
5XYP64GC8SG626462,058044405
4T1DAACK5SU083157,056122544
3C4NJDDN0ST600197,057846062
5LMJJ2LG3SEL05769,057137555
3GNKBERSXSS200164,057134232
